,Unnamed: 0,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1276939,3394688,1671721200,2022-12-22 15:00:00+00:00,ETH-USD,1192.97,1193.2,1190.12,1192.99,585.18573864
1276999,3394748,1671724800,2022-12-22 16:00:00+00:00,ETH-USD,1186.66,1186.66,1185.44,1185.99,264.78684443
1277059,3394808,1671728400,2022-12-22 17:00:00+00:00,ETH-USD,1190.75,1190.93,1190.08,1190.09,198.99620849
1277119,3394868,1671732000,2022-12-22 18:00:00+00:00,ETH-USD,1187.33,1187.33,1185.66,1186.17,522.03152489
1277179,3394928,1671735600,2022-12-22 19:00:00+00:00,ETH-USD,1189.26,1190.24,1189.05,1190.03,149.19607707
1277239,3394988,1671739200,2022-12-22 20:00:00+00:00,ETH-USD,1194.84,1195.24,1193.8,1194.14,333.73058546
1277299,3395048,1671742800,2022-12-22 21:00:00+00:00,ETH-USD,1217.21,1218.44,1217.16,1217.42,521.72381562
1277359,3395108,1671746400,2022-12-22 22:00:00+00:00,ETH-USD,1214.73,1215.05,1214.6,1214.78,217.18213033
1277419,3395168,1671750000,2022-12-22 23:00:00+00:00,ETH-USD,1215.53,1216.07,1215.52,1215.98,71.49095468
1277479,3395228,1671753600,2022-12-23 00:00:00+00:00,ETH-USD,1217.48,1218.2,1217.46,1217.83,155.81127342
1277539,3395288,1671757200,2022-12-23 01:00:00+00:00,ETH-USD,1215.03,1215.51,1214.81,1214.82,190.79678374
1277599,3395348,1671760800,2022-12-23 02:00:00+00:00,ETH-USD,1216.96,1217.12,1216.78,1216.98,105.10760293
1277659,3395408,1671764400,2022-12-23 03:00:00+00:00,ETH-USD,1224.23,1226.08,1223.81,1225.38,534.51874279
1277719,3395468,1671768000,2022-12-23 04:00:00+00:00,ETH-USD,1223.7,1224.41,1223.64,1224.17,102.9755511
1277779,3395528,1671771600,2022-12-23 05:00:00+00:00,ETH-USD,1223.35,1223.5,1223.0,1223.0,438.32543217
1277839,3395588,1671775200,2022-12-23 06:00:00+00:00,ETH-USD,1220.97,1221.35,1220.94,1221.07,81.05040226
1277899,3395648,1671778800,2022-12-23 07:00:00+00:00,ETH-USD,1221.25,1221.37,1221.1,1221.17,113.08229745
1277959,3395708,1671782400,2022-12-23 08:00:00+00:00,ETH-USD,1221.69,1221.89,1221.55,1221.79,61.62173047
1278019,3395768,1671786000,2022-12-23 09:00:00+00:00,ETH-USD,1218.61,1219.44,1218.61,1219.36,271.3477545
1278079,3395828,1671789600,2022-12-23 10:00:00+00:00,ETH-USD,1219.28,1219.64,1219.28,1219.54,65.1960831
1278139,3395888,1671793200,2022-12-23 11:00:00+00:00,ETH-USD,1223.99,1224.74,1223.99,1224.52,201.98898324
1278199,3395948,1671796800,2022-12-23 12:00:00+00:00,ETH-USD,1222.6,1223.14,1222.44,1222.95,210.81654215
1278259,3396008,1671800400,2022-12-23 13:00:00+00:00,ETH-USD,1224.65,1224.81,1224.58,1224.7,442.63667136
1278319,3396068,1671804000,2022-12-23 14:00:00+00:00,ETH-USD,1220.44,1221.0,1220.29,1220.89,112.4628976
1278379,3396128,1671807600,2022-12-23 15:00:00+00:00,ETH-USD,1215.29,1219.13,1213.87,1216.69,2048.0747715
1278439,3396188,1671811200,2022-12-23 16:00:00+00:00,ETH-USD,1219.06,1219.08,1218.62,1218.78,194.64507874
1278499,3396248,1671814800,2022-12-23 17:00:00+00:00,ETH-USD,1217.43,1218.08,1217.24,1217.82,104.96824331
1278559,3396308,1671818400,2022-12-23 18:00:00+00:00,ETH-USD,1218.46,1218.86,1218.46,1218.7,62.34221437
1278619,3396368,1671822000,2022-12-23 19:00:00+00:00,ETH-USD,1218.44,1218.63,1218.29,1218.46,78.34195137
1278679,3396428,1671825600,2022-12-23 20:00:00+00:00,ETH-USD,1219.92,1220.14,1219.88,1219.95,669.43114916
1278739,3396488,1671829200,2022-12-23 21:00:00+00:00,ETH-USD,1219.98,1220.13,1219.53,1219.78,212.82637348
1278799,3396548,1671832800,2022-12-23 22:00:00+00:00,ETH-USD,1221.9,1221.99,1221.76,1221.8,40.11862891
1278859,3396608,1671836400,2022-12-23 23:00:00+00:00,ETH-USD,1218.67,1219.05,1218.35,1218.93,296.96137136
1278919,3396668,1671840000,2022-12-24 00:00:00+00:00,ETH-USD,1219.99,1220.2,1219.81,1219.9,188.01782408
1278979,3396728,1671843600,2022-12-24 01:00:00+00:00,ETH-USD,1219.19,1219.28,1218.85,1218.92,129.17658752
1279039,3396788,1671847200,2022-12-24 02:00:00+00:00,ETH-USD,1215.48,1216.13,1215.32,1215.39,402.14796765
1279099,3396848,1671850800,2022-12-24 03:00:00+00:00,ETH-USD,1216.32,1216.41,1215.69,1216.34,392.49416131
1279159,3396908,1671854400,2022-12-24 04:00:00+00:00,ETH-USD,1218.47,1218.73,1218.47,1218.6,32.72172732
1279219,3396968,1671858000,2022-12-24 05:00:00+00:00,ETH-USD,1217.3,1217.37,1217.03,1217.12,41.58487493
1279279,3397028,1671861600,2022-12-24 06:00:00+00:00,ETH-USD,1216.46,1216.56,1216.18,1216.46,157.08869246
1279339,3397088,1671865200,2022-12-24 07:00:00+00:00,ETH-USD,1216.5,1216.74,1216.25,1216.73,103.37967315
1279399,3397148,1671868800,2022-12-24 08:00:00+00:00,ETH-USD,1220.36,1220.53,1220.1,1220.16,83.46994306
1279459,3397208,1671872400,2022-12-24 09:00:00+00:00,ETH-USD,1218.31,1218.48,1218.08,1218.25,62.30195008
1279519,3397268,1671876000,2022-12-24 10:00:00+00:00,ETH-USD,1218.1,1218.28,1218.08,1218.27,11.14808614
1279579,3397328,1671879600,2022-12-24 11:00:00+00:00,ETH-USD,1218.16,1218.23,1217.97,1218.08,25.54992944
1279639,3397388,1671883200,2022-12-24 12:00:00+00:00,ETH-USD,1219.53,1219.57,1218.6,1218.8,183.77316364
1279699,3397448,1671886800,2022-12-24 13:00:00+00:00,ETH-USD,1217.75,1218.05,1217.75,1217.86,56.36191207
1279759,3397508,1671890400,2022-12-24 14:00:00+00:00,ETH-USD,1218.18,1218.18,1217.61,1218.01,266.5412923
1279819,3397568,1671894000,2022-12-24 15:00:00+00:00,ETH-USD,1218.28,1218.38,1218.1,1218.26,24.67709218
1279879,3397628,1671897600,2022-12-24 16:00:00+00:00,ETH-USD,1218.84,1219.06,1218.79,1218.93,29.95346196
1279939,3397688,1671901200,2022-12-24 17:00:00+00:00,ETH-USD,1218.76,1218.99,1218.54,1218.92,98.35765609
1279999,3397748,1671904800,2022-12-24 18:00:00+00:00,ETH-USD,1219.74,1222.04,1219.71,1221.81,599.93878705
1280059,3397808,1671908400,2022-12-24 19:00:00+00:00,ETH-USD,1221.8,1224.73,1221.57,1223.38,1590.55681215
1280119,3397868,1671912000,2022-12-24 20:00:00+00:00,ETH-USD,1223.62,1223.94,1223.49,1223.79,110.54058247
1280179,3397928,1671915600,2022-12-24 21:00:00+00:00,ETH-USD,1221.73,1221.83,1221.45,1221.63,117.42621501
1280239,3397988,1671919200,2022-12-24 22:00:00+00:00,ETH-USD,1219.06,1219.09,1218.36,1218.53,63.09739902
1280299,3398048,1671922800,2022-12-24 23:00:00+00:00,ETH-USD,1218.49,1219.15,1218.43,1219.0,162.38396765
1280359,3398108,1671926400,2022-12-25 00:00:00+00:00,ETH-USD,1220.49,1220.59,1220.19,1220.29,17.84303362
